,Unnamed: 0,filename,bvw,solved_bitwuzla_times_average,solved_bv_decide_times_average,solved_bv_decide_rw_times_average,solved_bv_decide_bb_times_average,solved_bv_decide_sat_times_average,solved_bv_decide_lratt_times_average,solved_bv_decide_lratc_times_average
1,1,1DeMorgan_8,8,14.447107,14.673897,14.665151,0.0,0.0,0.0,0.0
0,0,1DeMorgan_8,8,14.994915,14.768423,14.75066,0.0,0.0,0.0,0.0
2,2,1DeMorgan_8,8,16.769983,16.800148,16.788867,0.0,0.0,0.0,0.0
4,4,1DeMorgan_8,8,17.461217,17.505018,17.496613,0.0,0.0,0.0,0.0
6,6,1DeMorgan_8,8,57.624951,59.659713,3.682453,0.0218,52.95329,0.196325,2.474507
5,5,1DeMorgan_8,8,57.446209,60.330048,3.785364,0.022652,53.118056,0.148216,2.831832
3,3,1DeMorgan_8,8,59.787179,62.447162,5.489661,0.043771,52.946428,0.241699,3.427839
7,7,1DeMorgan_8,8,60.393506,65.455152,6.605945,0.045365,53.14687,0.977096,4.240581
8,8,1DeMorgan_8,8,60.079232,66.98788,6.057647,0.049803,53.05513,1.507271,5.872443
2,2,2AdditionAndLogicalOps_4,4,26.090903,16.349322,16.339263,0.0,0.0,0.0,0.0
0,0,2AdditionAndLogicalOps_4,4,16.751549,16.52607,16.508818,0.0,0.0,0.0,0.0
3,3,2AdditionAndLogicalOps_4,4,16.754093,16.639721,16.629642,0.0,0.0,0.0,0.0
4,4,2AdditionAndLogicalOps_4,4,17.259292,17.443855,17.434898,0.0,0.0,0.0,0.0
20,20,2AdditionAndLogicalOps_4,4,59.983825,62.132978,5.491194,0.019737,53.104481,0.171088,3.093278
19,19,2AdditionAndLogicalOps_4,4,60.17995,62.785681,6.041126,0.024024,53.156588,0.12913,3.163518
15,15,2AdditionAndLogicalOps_4,4,63.462088,63.299846,6.772034,0.026209,53.145468,0.186697,2.905862
17,17,2AdditionAndLogicalOps_4,4,59.68538,63.561513,6.029304,0.029274,53.217702,0.652392,3.344446
14,14,2AdditionAndLogicalOps_4,4,61.201317,64.06022,7.304874,0.02661,53.241586,0.2422,2.962173
7,7,2AdditionAndLogicalOps_4,4,60.810681,64.226388,7.226268,0.028332,53.074355,0.389494,3.205526
13,13,2AdditionAndLogicalOps_4,4,61.874177,64.567312,8.430396,0.02689,52.800356,0.158294,2.912583
21,21,2AdditionAndLogicalOps_4,4,61.150222,65.153742,6.883522,0.028282,52.832526,0.448824,4.707216
5,5,2AdditionAndLogicalOps_4,4,61.630545,65.332975,8.03936,0.037409,52.92612,0.646461,3.418593
11,11,2AdditionAndLogicalOps_4,4,62.229167,65.568863,8.508381,0.028232,52.854416,0.590377,3.342161
18,18,2AdditionAndLogicalOps_4,4,62.172111,66.19166,8.322124,0.031138,53.280528,0.514045,3.759727
9,9,2AdditionAndLogicalOps_4,4,62.782756,66.597384,9.824807,0.030476,52.721329,0.474713,3.264777
6,6,2AdditionAndLogicalOps_4,4,64.058556,67.260286,10.424932,0.026158,52.98051,0.189883,3.40072
1,1,2AdditionAndLogicalOps_4,4,60.343513,67.554903,9.43911,0.040665,52.884963,0.210251,4.675868
16,16,2AdditionAndLogicalOps_4,4,60.789281,67.899865,7.149906,0.047729,53.029091,1.091588,6.262559
12,12,2AdditionAndLogicalOps_4,4,66.97748,70.807037,13.222581,0.033091,52.70045,0.495371,4.081825
10,10,2AdditionAndLogicalOps_4,4,67.210553,71.25549,13.290157,0.039674,52.951196,0.666168,4.011123
8,8,2AdditionAndLogicalOps_4,4,68.66202,72.024589,14.664309,0.02709,53.209757,0.271254,3.570326
0,0,2AdditionAndLogicalOps_16,16,16.63934,16.343881,16.333392,0.0,0.0,0.0,0.0
2,2,2AdditionAndLogicalOps_16,16,17.655619,16.586993,16.577145,0.0,0.0,0.0,0.0
3,3,2AdditionAndLogicalOps_16,16,16.797905,16.776204,16.767147,0.0,0.0,0.0,0.0
4,4,2AdditionAndLogicalOps_16,16,17.638086,17.719567,17.708697,0.0,0.0,0.0,0.0
20,20,2AdditionAndLogicalOps_16,16,59.299613,63.264481,5.288066,0.052888,53.164363,0.499989,3.867097
1,1,2AdditionAndLogicalOps_16,16,60.130948,63.854678,5.894624,0.10213,53.153322,0.466928,3.745049
19,19,2AdditionAndLogicalOps_16,16,60.094811,64.071351,6.154977,0.051245,53.180392,0.218096,3.908503
15,15,2AdditionAndLogicalOps_16,16,60.553313,64.125651,6.894912,0.05917,52.972295,0.318662,3.482101
14,14,2AdditionAndLogicalOps_16,16,61.093547,65.008231,7.258178,0.055944,53.100062,0.548879,3.568011
21,21,2AdditionAndLogicalOps_16,16,60.246042,65.380503,7.031095,0.063198,53.160935,0.519536,4.16521
13,13,2AdditionAndLogicalOps_16,16,61.974003,65.394679,8.333496,0.059831,52.759851,0.30675,3.548915
7,7,2AdditionAndLogicalOps_16,16,60.671884,66.590321,7.145838,0.069038,53.171245,1.15183,4.505772
17,17,2AdditionAndLogicalOps_16,16,59.651848,67.571354,5.853588,0.084287,52.943933,2.176715,5.925141
18,18,2AdditionAndLogicalOps_16,16,61.886801,68.082273,8.100733,0.084908,53.08231,1.454603,4.859741
6,6,2AdditionAndLogicalOps_16,16,64.86204,70.803641,10.837879,0.12377,53.385633,1.104132,4.919422
11,11,2AdditionAndLogicalOps_16,16,62.065984,71.022617,8.428793,0.092863,52.971865,3.007168,5.973391
9,9,2AdditionAndLogicalOps_16,16,62.513054,72.119896,10.161342,0.084437,52.271883,2.268276,6.874864
5,5,2AdditionAndLogicalOps_16,16,62.105748,74.656329,9.969946,0.115925,53.525894,2.536573,7.876507
8,8,2AdditionAndLogicalOps_16,16,68.05915,74.85012,14.27654,0.082193,53.119579,1.452459,5.47287
10,10,2AdditionAndLogicalOps_16,16,66.793839,78.218549,12.989107,0.101298,52.790999,3.304932,8.529659
16,16,2AdditionAndLogicalOps_16,16,61.280724,79.995831,8.663709,0.179634,53.591356,4.902199,11.921321
12,12,2AdditionAndLogicalOps_16,16,67.374498,80.626394,13.182025,0.100908,53.138605,3.983904,9.705805
0,0,2AdditionAndLogicalOps_32,32,16.523204,16.140032,16.124934,0.0,0.0,0.0,0.0
2,2,2AdditionAndLogicalOps_32,32,16.570392,16.553962,16.543131,0.0,0.0,0.0,0.0
3,3,2AdditionAndLogicalOps_32,32,16.876931,17.124261,17.113311,0.0,0.0,0.0,0.0
4,4,2AdditionAndLogicalOps_32,32,17.440108,17.562345,17.552737,0.0,0.0,0.0,0.0
19,19,2AdditionAndLogicalOps_32,32,60.367448,64.063926,5.929057,0.123429,53.147431,0.201424,3.927488
20,20,2AdditionAndLogicalOps_32,32,61.480025,64.938912,5.39219,0.099645,52.720557,1.227131,4.932957
15,15,2AdditionAndLogicalOps_32,32,60.995574,65.819128,7.271032,0.154908,53.285989,0.501011,4.06857
1,1,2AdditionAndLogicalOps_32,32,60.344264,66.275286,7.626131,0.142505,52.340261,0.856672,4.627259
13,13,2AdditionAndLogicalOps_32,32,62.101801,67.083287,8.245612,0.100387,53.078763,1.037208,3.986627
14,14,2AdditionAndLogicalOps_32,32,61.256089,69.351322,7.508323,0.085419,53.169121,1.189961,6.834391
21,21,2AdditionAndLogicalOps_32,32,60.878557,70.015506,8.876585,0.128849,53.090976,1.565399,5.626856
7,7,2AdditionAndLogicalOps_32,32,60.683745,70.180022,7.078103,0.175696,52.933954,2.017599,7.306507
6,6,2AdditionAndLogicalOps_32,32,64.53958,73.072036,10.63894,0.140912,53.005998,1.844527,6.671105
18,18,2AdditionAndLogicalOps_32,32,62.172862,73.248914,8.210477,0.163263,53.071289,3.089771,7.952547
17,17,2AdditionAndLogicalOps_32,32,59.868621,73.842057,5.952331,0.212154,53.251915,3.904335,9.687691
9,9,2AdditionAndLogicalOps_32,32,62.02599,76.148944,8.759167,0.210391,52.991241,4.230742,9.241254
8,8,2AdditionAndLogicalOps_32,32,69.858133,76.548004,14.175913,0.137215,53.210828,1.936228,6.42579
11,11,2AdditionAndLogicalOps_32,32,62.152074,82.548195,8.412001,0.178612,53.220868,7.120742,12.821945
10,10,2AdditionAndLogicalOps_32,32,66.824727,84.04732,13.407985,0.175506,52.971023,4.673905,11.970635
5,5,2AdditionAndLogicalOps_32,32,61.472801,84.137708,8.087648,0.203919,53.010847,6.739433,15.222727
16,16,2AdditionAndLogicalOps_32,32,61.255177,88.199305,7.470161,0.243392,52.930318,8.566759,18.085357
12,12,2AdditionAndLogicalOps_32,32,71.415728,97.988737,13.725074,0.260304,53.592949,10.632227,18.590725
1,1,1DeMorgan_64,64,14.572289,14.672566,14.663168,0.0,0.0,0.0,0.0
0,0,1DeMorgan_64,64,15.421156,15.250589,15.227096,0.0,0.0,0.0,0.0
2,2,1DeMorgan_64,64,16.703469,16.852727,16.842668,0.0,0.0,0.0,0.0
4,4,1DeMorgan_64,64,17.378664,17.607419,17.598132,0.0,0.0,0.0,0.0
5,5,1DeMorgan_64,64,63.411234,62.787555,3.908854,0.114934,53.025594,0.749353,4.244466
6,6,1DeMorgan_64,64,58.013093,63.123118,3.759436,0.110876,53.936428,0.539382,4.053733
3,3,1DeMorgan_64,64,60.026454,67.416486,5.55385,0.210321,52.906303,1.636661,6.214015
7,7,1DeMorgan_64,64,60.393626,75.855077,6.642343,0.333079,52.879954,4.395458,10.534356
8,8,1DeMorgan_64,64,60.252724,80.939355,5.893151,0.45185,52.924085,7.318559,13.084224
0,0,2AdditionAndLogicalOps_64,64,16.352147,16.275714,16.260926,0.0,0.0,0.0,0.0
3,3,2AdditionAndLogicalOps_64,64,20.39005,16.439469,16.429369,0.0,0.0,0.0,0.0
2,2,2AdditionAndLogicalOps_64,64,17.523683,17.213938,17.207876,0.0,0.0,0.0,0.0
4,4,2AdditionAndLogicalOps_64,64,17.389063,17.252319,17.243383,0.0,0.0,0.0,0.0
15,15,2AdditionAndLogicalOps_64,64,60.820339,66.111812,6.814784,0.164746,52.648413,0.768077,4.943166
19,19,2AdditionAndLogicalOps_64,64,59.901281,66.48734,6.061233,0.323942,53.295987,0.573586,5.29515
13,13,2AdditionAndLogicalOps_64,64,62.156822,68.901355,8.095283,0.194311,53.368451,1.524714,4.892931
20,20,2AdditionAndLogicalOps_64,64,58.976843,69.932459,5.188432,0.18294,52.870363,2.542485,8.349005
1,1,2AdditionAndLogicalOps_64,64,61.048292,71.888355,5.920452,0.214378,52.87286,2.01845,9.895239
14,14,2AdditionAndLogicalOps_64,64,61.153157,71.940844,7.436579,0.185605,53.090475,2.456735,7.981411
21,21,2AdditionAndLogicalOps_64,64,60.70708,72.349734,7.099112,0.232001,52.983737,2.854965,8.10342
7,7,2AdditionAndLogicalOps_64,64,60.976359,74.676136,6.950927,0.33898,53.06623,3.489946,9.781897
17,17,2AdditionAndLogicalOps_64,64,59.655865,78.483732,5.232022,0.314755,52.237109,7.123186,12.476694
6,6,2AdditionAndLogicalOps_64,64,64.468077,78.954767,10.325757,0.244494,53.078662,3.848471,10.342259
9,9,2AdditionAndLogicalOps_64,64,62.43007,80.911093,8.500196,0.292664,53.080717,5.53154,12.302903
8,8,2AdditionAndLogicalOps_64,64,67.181039,81.029252,13.883269,0.238232,52.792852,4.171241,8.824067
18,18,2AdditionAndLogicalOps_64,64,61.758301,81.589353,8.682134,0.331706,52.877759,4.760576,13.682936
12,12,2AdditionAndLogicalOps_64,64,67.065263,174.720042,13.285378,0.342837,103.332938,24.957207,31.331652
10,10,2AdditionAndLogicalOps_64,64,66.777679,176.975925,13.070909,0.319814,102.852465,18.719676,40.550683
11,11,2AdditionAndLogicalOps_64,64,62.065633,178.805734,8.364323,0.343198,102.655279,22.274802,43.706978
5,5,2AdditionAndLogicalOps_64,64,61.251951,264.188567,8.238499,0.374706,153.00457,33.495423,67.362857
16,16,2AdditionAndLogicalOps_64,64,61.086313,437.401769,7.118618,0.440559,253.311053,61.815969,112.781595
0,0,1DeMorgan_16,16,14.998681,14.78847,14.774515,0.0,0.0,0.0,0.0
2,2,1DeMorgan_16,16,16.658706,16.752981,16.742942,0.0,0.0,0.0,0.0
4,4,1DeMorgan_16,16,17.954433,18.374514,18.36702,0.0,0.0,0.0,0.0
1,1,1DeMorgan_16,16,14.412201,19.02366,19.014774,0.0,0.0,0.0,0.0
6,6,1DeMorgan_16,16,57.213376,59.638462,3.741082,0.035847,52.720968,0.194842,2.622193
5,5,1DeMorgan_16,16,57.009137,60.556599,4.104998,0.03231,52.746306,0.252118,3.046011
3,3,1DeMorgan_16,16,59.813188,65.360967,5.59661,0.05954,52.914308,0.627877,5.769763
7,7,1DeMorgan_16,16,59.901372,66.847789,6.685583,0.064109,52.799465,1.631832,5.173294
8,8,1DeMorgan_16,16,59.937839,71.816403,10.09031,0.081582,52.887227,1.953761,6.115234
1,1,1DeMorgan_32,32,14.632962,14.56208,14.553014,0.0,0.0,0.0,0.0
0,0,1DeMorgan_32,32,15.228328,14.902182,14.886993,0.0,0.0,0.0,0.0
2,2,1DeMorgan_32,32,16.59069,16.896728,16.891409,0.0,0.0,0.0,0.0
4,4,1DeMorgan_32,32,17.277756,17.344059,17.335083,0.0,0.0,0.0,0.0
6,6,1DeMorgan_32,32,57.421082,60.905117,3.840667,0.06969,53.10944,0.331396,3.030451
5,5,1DeMorgan_32,32,57.523142,61.360863,3.942897,0.070481,52.99604,0.318672,3.501708
3,3,1DeMorgan_32,32,59.230154,64.804963,6.644908,0.117087,51.954364,0.90908,4.581733
7,7,1DeMorgan_32,32,60.147449,69.935337,6.669654,0.177019,53.243329,2.819649,6.30718
8,8,1DeMorgan_32,32,60.004763,75.112277,5.982557,0.226421,52.324451,4.8216,10.899165
0,0,2AdditionAndLogicalOps_8,8,16.391359,16.212386,16.1927,0.0,0.0,0.0,0.0
2,2,2AdditionAndLogicalOps_8,8,16.739406,16.353889,16.344702,0.0,0.0,0.0,0.0
3,3,2AdditionAndLogicalOps_8,8,18.08165,16.768029,16.757009,0.0,0.0,0.0,0.0
4,4,2AdditionAndLogicalOps_8,8,17.39279,17.76379,17.752419,0.0,0.0,0.0,0.0
20,20,2AdditionAndLogicalOps_8,8,59.1852,62.182831,5.33797,0.030947,52.740986,0.297052,3.467204
1,1,2AdditionAndLogicalOps_8,8,60.29893,62.907077,5.866873,0.040996,52.954943,0.273748,3.48686
15,15,2AdditionAndLogicalOps_8,8,60.947145,63.256396,6.743952,0.028714,52.703726,0.326146,3.158239
19,19,2AdditionAndLogicalOps_8,8,59.698024,63.570209,5.926713,0.038853,52.973438,0.16134,3.98294
7,7,2AdditionAndLogicalOps_8,8,60.973374,64.699538,7.126042,0.039934,52.87767,0.598472,3.613734
13,13,2AdditionAndLogicalOps_8,8,62.489461,65.157088,8.171755,0.030236,53.167017,0.23674,3.240281
17,17,2AdditionAndLogicalOps_8,8,59.968306,65.694807,6.053048,0.051867,53.218373,1.072923,4.695345
14,14,2AdditionAndLogicalOps_8,8,61.242082,65.770378,7.570427,0.028683,53.101856,0.3927,4.344633
21,21,2AdditionAndLogicalOps_8,8,60.294231,65.967012,6.962608,0.037881,52.928164,1.084686,4.638319
18,18,2AdditionAndLogicalOps_8,8,62.329744,66.843111,8.135087,0.050854,53.130379,0.781001,4.424772
5,5,2AdditionAndLogicalOps_8,8,61.685497,66.849743,8.074875,0.058318,52.706912,0.929728,4.620237
11,11,2AdditionAndLogicalOps_8,8,62.173033,67.948996,8.38981,0.046256,53.111374,1.19997,4.85908
9,9,2AdditionAndLogicalOps_8,8,62.573557,68.349069,8.636889,0.043701,53.040322,1.314352,4.989332
6,6,2AdditionAndLogicalOps_8,8,64.112256,68.564961,10.788096,0.042509,52.871559,0.534464,4.004411
16,16,2AdditionAndLogicalOps_8,8,61.435652,73.249014,7.688307,0.065953,52.799645,3.022676,9.310221
12,12,2AdditionAndLogicalOps_8,8,67.008478,74.614401,13.667518,0.070702,53.13079,1.696472,5.686375
8,8,2AdditionAndLogicalOps_8,8,68.092503,76.511677,17.885295,0.042839,53.04468,0.714137,4.472901
10,10,2AdditionAndLogicalOps_8,8,66.78393,76.55607,13.342384,0.052778,53.098439,2.443681,7.278987
1,1,1DeMorgan_4,4,14.426869,14.676021,14.666574,0.0,0.0,0.0,0.0
0,0,1DeMorgan_4,4,14.99762,14.805132,14.790715,0.0,0.0,0.0,0.0
4,4,1DeMorgan_4,4,18.314243,17.718786,17.713156,0.0,0.0,0.0,0.0
2,2,1DeMorgan_4,4,16.58048,26.868418,26.857107,0.0,0.0,0.0,0.0
6,6,1DeMorgan_4,4,57.360099,59.41071,3.799681,0.015579,52.999005,0.115775,2.197072
5,5,1DeMorgan_4,4,57.600416,60.476801,4.008729,0.014928,53.1844,0.111938,2.928272
3,3,1DeMorgan_4,4,60.141477,62.988088,5.631064,0.03259,52.973478,0.196415,3.900208
8,8,1DeMorgan_4,4,60.093719,63.654946,5.842457,0.027381,53.154814,0.62475,3.676873
7,7,1DeMorgan_4,4,60.259287,63.772484,6.729916,0.025547,53.407524,0.440609,2.856849
