family,total_entries,unknown_lw,unknown_bw
sage/app7,8663,5167,0
Sage2,7636,2126,19
sage/app12,5784,1385,0
sage/app9,3301,0,0
sage/app8,2756,0,0
sage/app1,2676,635,0
20221012-MCMPC/millionaires,1682,0,0
20190311-bv-term-small-rw-Noetzli,1575,159,7
sage/app2,1417,779,0
spear/samba_v3.0.24,1386,575,0
sage/app5,1103,85,0
20221012-MCMPC/dualexecution_affine,711,16,0
bruttomesso/core,672,35,0
sage/app11,611,611,0
stp_samples,426,284,2
uclid/catchconv,414,413,0
20221012-MCMPC/mean_buckets,338,0,0
dwp_formulas,332,95,0
bench_ab,285,1,0
sage/app6,245,5,0
bruttomesso/lfsr,240,21,5
spear/inn_v2.4.3,219,0,0
float,213,177,35
20210219-Sydr/master/cjpeg,209,209,0
log-slicing,208,138,43
20221012-MCMPC/dualexecution,203,16,0
20221012-MCMPC/wage,202,0,0
20210312-Bouvier,200,178,8
mcm,186,138,78
20221012-MCMPC/wage_circuit_div,185,0,0
20230221-oisc-gurtner,112,112,48
20210219-Sydr/master/yices,92,92,0
20221214-p4dfa-XiaoqiChen/StringMatching,90,90,77
pspace,86,41,2
20221012-MCMPC/sugarbeets,82,0,0
brummayerbiere3,79,78,15
bmc-bv-svcomp14,66,34,1
brummayerbiere2,65,58,1
bruttomesso/simple_processor,64,0,0
2018-Goel-hwbench,54,7,0
brummayerbiere,52,43,11
sage/app10,51,50,0
spear/wget_v1.10.2,42,0,0
20210219-Sydr/master/readelf,42,26,0
20210219-Sydr/symbolic_memory/linear/minigzip,41,41,0
20221012-MCMPC/simplemean_buckets,36,0,0
bmc-bv,30,12,0
asp/GeneralizedSlitherlink,29,28,0
asp/BlockedNQueens,29,29,0
asp/HamiltonianPath,29,28,0
asp/EdgeMatching,29,29,2
asp/GraphColouring,29,29,16
spear/cvs_v1.11.22,29,0,0
asp/SchurNumbers,29,29,0
asp/MazeGeneration,29,27,0
asp/TravellingSalesperson,29,29,0
asp/Labyrinth,29,29,17
asp/Sokoban,29,29,0
20210219-Sydr/symbolic_memory/linear/readelf,29,24,0
asp/WeightBoundedDominatingSet,29,14,0
asp/Solitaire,27,27,5
fft,23,19,9
calypto,23,18,10
asp/WireRouting,23,23,2
20220315-ecrw,22,22,21
20221012-MCMPC/mean,21,0,0
asp/ConnectedDominatingSet,21,12,0
crafted,21,0,0
RWS,20,7,1
20230224-grsbits-truby,20,15,6
20210219-Sydr/symbolic_memory/nested/readelf,17,15,0
asp/Fastfood,17,17,0
20190429-UltimateAutomizerSvcomp2019,16,0,0
asp/15Puzzle,15,15,0
asp/Hanoi,15,15,0
asp/GraphPartitioning,13,12,4
asp/HierarchicalClustering,12,12,0
20210219-Sydr/symbolic_memory/bst/cjpeg,12,12,0
VS3,11,8,7
asp/KnightTour,10,10,5
brummayerbiere4,10,10,10
2019-Wolf-fmbench/2018E,10,10,0
asp/Sudoku,10,10,0
asp/ChannelRouting,10,8,2
20210219-Sydr/master/pk2bm,9,9,0
20221214-p4dfa-XiaoqiChen/Composition,9,8,4
spear/zebra_v0.95a,9,0,0
20221012-MCMPC/simplemean,8,0,0
spear/openldap_v2.3.35,8,2,0
uum,8,6,6
20210219-Sydr/symbolic_memory/bst/yices,8,8,2
20210219-Sydr/symbolic_memory/nested/cjpeg,8,8,0
ecc,8,7,0
20210219-Sydr/symbolic_memory/linear/cjpeg,7,7,0
20210219-Sydr/symbolic_memory/linear/yices,7,7,0
20210219-Sydr/symbolic_memory/bst/hdp,7,7,0
20210219-Sydr/symbolic_memory/linear/pk2bm,7,7,0
uclid_contrib_smtcomp09,7,7,0
rubik,7,7,0
wienand-cav2008/Booth,6,4,4
20210219-Sydr/symbolic_memory/linear/faad,6,6,0
check2,6,0,0
gulwani-pldi08,6,0,0
wienand-cav2008/Commute,6,5,0
2019-Wolf-fmbench/2019A,6,6,0
20210219-Sydr/symbolic_memory/bst/readelf,6,4,0
20230321-UltimateAutomizerSvcomp2023,6,4,4
20221214-p4dfa-XiaoqiChen/TCP,6,6,4
wienand-cav2008/Distrib,6,5,0
20210219-Sydr/symbolic_memory/linear/hdp,6,6,0
2018-Mann,5,5,0
20221214-p4dfa-XiaoqiChen/VideoConf,5,5,4
tacas07,5,4,0
galois,4,3,3
asp/DisjunctiveScheduling,4,4,3
20210219-Sydr/symbolic_memory/nested/yices,4,4,2
